LID,Inspection_Date,Inspection_Result,RID
238,2023-07-18,Fail,181
239,2023-04-26,Pass,308
240,2023-10-27,Fail,69
241,2023-01-29,Pass,230
242,2024-04-14,Pass,334
243,2023-01-15,Fail,325
244,2023-02-04,Pass,205
245,2023-06-20,Pass,382
246,2024-05-16,Fail,64
247,2023-04-09,Fail,34
248,2023-07-08,Fail,225
249,2023-01-20,Pass,44
250,2024-02-10,Pass,256
251,2024-01-09,Fail,41
252,2023-09-08,Pass,337
253,2023-10-30,Pass,30
254,2023-12-25,Fail,73
255,2024-04-21,Pass,43
256,2023-08-15,Fail,148
257,2023-12-29,Pass,131
258,2024-03-17,Fail,353
259,2023-01-04,Fail,100
260,2023-01-03,Pass,373
261,2023-02-21,Fail,294
262,2023-09-08,Pass,238
263,2023-11-19,Fail,398
264,2023-02-28,Pass,322
265,2023-08-24,Pass,222
266,2023-04-01,Fail,176
267,2024-04-23,Fail,74
268,2023-01-07,Pass,69
269,2023-04-10,Fail,293
270,2024-01-26,Pass,291
271,2023-06-21,Fail,268
272,2023-12-13,Pass,278
273,2024-02-27,Pass,33
274,2023-09-05,Pass,242
275,2023-05-10,Fail,381
276,2023-09-05,Fail,333
277,2023-02-12,Fail,241
278,2024-03-12,Pass,209
279,2023-12-31,Pass,129
280,2024-01-24,Pass,5
281,2023-06-24,Pass,375
282,2024-03-17,Fail,228
283,2024-04-07,Pass,77
284,2023-08-11,Fail,349
285,2024-04-16,Pass,48
286,2023-10-10,Pass,112
287,2023-05-25,Pass,155
288,2023-04-29,Pass,145
289,2023-07-08,Fail,24
290,2023-11-17,Fail,190
291,2023-08-12,Fail,331
292,2023-03-07,Fail,216
293,2023-04-06,Fail,112
294,2023-04-25,Pass,229
295,2023-08-28,Fail,372
296,2024-02-20,Fail,346
297,2023-10-16,Fail,88
298,2023-02-02,Pass,291
299,2023-12-17,Pass,279
300,2024-05-07,Fail,52
301,2023-09-06,Fail,378
302,2023-03-05,Fail,40
303,2023-01-26,Fail,387
304,2024-03-14,Pass,395
305,2023-02-12,Pass,214
306,2024-03-20,Pass,121
307,2024-04-01,Fail,23
308,2024-04-10,Fail,58
309,2023-07-13,Pass,114
310,2023-04-12,Pass,248
311,2023-09-16,Pass,383
312,2023-12-14,Pass,87
313,2023-08-29,Fail,336
314,2023-02-20,Fail,259
315,2023-03-16,Pass,143
316,2023-01-24,Pass,350
317,2024-01-19,Pass,257
318,2023-04-16,Fail,266
319,2023-12-03,Fail,198
320,2023-03-23,Pass,195
321,2023-09-10,Fail,362
322,2023-08-14,Pass,163
323,2023-02-21,Pass,89
324,2023-01-30,Fail,101
325,2023-12-13,Fail,388
326,2023-08-03,Pass,333
327,2024-02-17,Fail,43
328,2023-09-04,Fail,336
329,2024-04-22,Pass,359
330,2023-01-26,Fail,120
331,2023-02-26,Fail,149
332,2023-09-01,Pass,131
333,2023-08-05,Fail,117
334,2023-04-28,Pass,214
335,2023-03-12,Fail,262
336,2024-02-16,Pass,64
337,2024-01-15,Pass,99
338,2023-02-09,Pass,132
339,2023-03-01,Fail,270
340,2023-09-06,Fail,91
341,2023-07-28,Fail,113
342,2023-04-17,Fail,324
343,2023-08-31,Pass,390
344,2023-05-22,Pass,79
345,2023-08-13,Pass,180
346,2023-06-20,Fail,27
347,2023-01-30,Pass,99
348,2024-03-26,Pass,389
349,2023-09-25,Pass,247
350,2023-05-06,Fail,24
351,2024-02-25,Pass,146
352,2023-07-02,Fail,32
353,2024-04-13,Pass,167
354,2024-01-17,Pass,179
355,2023-08-19,Pass,308
356,2024-04-23,Pass,142
357,2023-09-13,Fail,230
358,2024-03-13,Fail,289
359,2024-02-24,Pass,119
360,2023-11-17,Fail,160
361,2023-01-02,Pass,183
362,2024-05-14,Fail,271
363,2023-07-12,Fail,66
364,2023-07-15,Pass,116
365,2023-01-30,Pass,97
366,2024-03-26,Pass,57
367,2023-04-29,Fail,132
368,2023-08-11,Fail,384
369,2023-05-03,Fail,95
370,2023-06-06,Pass,301
371,2023-10-23,Pass,343
372,2023-10-24,Pass,371
373,2023-05-20,Pass,126
374,2023-05-28,Fail,393
375,2024-03-05,Fail,359
376,2023-04-18,Fail,113
377,2023-10-28,Fail,380
378,2023-11-30,Fail,150
379,2023-02-23,Pass,18
380,2023-11-03,Pass,2
381,2023-10-27,Fail,261
382,2023-08-11,Fail,97
383,2023-04-20,Pass,193
384,2024-05-10,Fail,268
385,2023-03-26,Fail,332
386,2023-05-15,Fail,68
387,2023-04-01,Fail,102
388,2023-06-13,Pass,365
389,2023-04-24,Fail,325
390,2023-08-07,Pass,385
391,2023-10-13,Pass,281
392,2023-03-12,Fail,3
393,2023-08-20,Pass,68
394,2024-01-30,Pass,198
395,2023-10-17,Pass,159
396,2024-03-24,Fail,207
397,2024-03-27,Pass,197
398,2023-07-09,Pass,354
399,2023-12-18,Fail,327
400,2023-10-03,Fail,351
